igralec,polozaj
190745,GK
190748,LM
190748,RM
190761,CDM
190761,CM
190765,CAM
190765,CM
190765,RM
190769,GK
190778,GK
190780,GK
190813,LM
190813,LW
190815,CB
190815,CDM
190815,LB
190824,RB
190854,RB
190868,CB
190868,RB
190870,CB
190871,CAM
190871,LW
190875,CDM
190875,CM
190885,LWB
190885,RB
190885,RWB
190915,ST
190919,CF
190919,LW
190919,ST
190931,CB
190941,GK
190942,CB
190971,CDM
190971,CM
190972,RM
190972,RW
191005,RB
191005,RM
191005,RWB
191011,GK
191032,LM
191032,RM
191043,LB
191043,LM
191053,CDM
191053,CM
191055,LB
191058,LB
191076,LM
191076,RM
191135,LM
191135,RM
191151,CDM
191151,CM
191164,LM
191164,RM
191164,ST
191173,CDM
191173,CM
191180,CAM
191180,CM
191202,CDM
191202,CM
191210,RB
191269,CAM
191269,CDM
191269,CM
191333,LB
191333,RB
191388,CF
191388,ST
191390,LB
191390,LM
191488,CB
191488,LB
191565,CAM
191565,CF
191565,ST
191627,CAM
191627,CDM
191627,CM
191628,GK
191648,CB
191687,CB
191688,CB
191740,CDM
191740,CM
191783,CM
191783,LM
191910,ST
192009,GK
192012,CB
192026,CDM
192026,CM
192041,CB
192045,RB
192064,CAM
192064,CF
192064,ST
192086,RW
192086,ST
192087,LM
192087,LWB
192091,CB
192102,LB
192102,LM
192102,LWB
192119,GK
192123,ST
192129,GK
192146,RB
192146,RM
192156,CB
192156,LWB
192227,CB
192241,RB
192242,CM
192242,LWB
192270,CAM
192270,ST
192297,GK
192318,CAM
192318,CM
192342,CAM
192342,LM
192342,LW
192349,RM
192349,RW
192350,LM
192358,GK
192362,LW
192362,RW
192366,CB
192371,CDM
192371,CM
192373,ST
192387,ST
192397,GK
192427,RB
192445,RW
192445,ST
192448,GK
192449,CAM
192492,CAM
192492,LM
192492,RM
192495,CDM
192495,CM
192505,ST
192537,LW
192537,RW
192546,LWB
192557,LB
192563,GK
192565,CAM
192565,CM
192565,LM
192567,RB
192567,RWB
192575,CDM
192575,CM
192587,CAM
192587,CM
192598,ST
192608,CM
192608,RM
192612,CDM
192612,CM
192613,GK
192620,CB
192622,CB
192629,RW
192629,ST
